,Cat.1,Cat.2,Cat.3,Cat.4,Cat.5,TS,Load,question,present_absent,trial_type
2008_000015.jpg, bottle,,,,,31.5397200008,high, bottle,Target Present,Critical
2008_000023.jpg, tvmonitor, bottle, person,,,35.9325137113,high, bottle,Target Present,Normal
2008_000033.jpg, aeroplane,,,,,16.9974233384,low, aeroplane,Target Present,Critical
2008_000036.jpg, person, bicycle, boat,,,33.1188342393,high, horse,Target Absent,Normal
2008_000037.jpg, aeroplane,,,,,12.0918230036,low, horse,Target Absent,Normal
2008_000064.jpg, aeroplane,,,,,18.7994435194,low, aeroplane,Target Present,Normal
2008_000076.jpg, horse,,,,,20.993717043,low, bird,Target Absent,Normal
2008_000089.jpg, chair,,,,,14.2675578276,low, pottedplant,Target Absent,Normal
2008_000112.jpg, bottle, cat,,,,21.2598297564,low, dog,Target Absent,Normal
2008_000142.jpg, person, horse,,,,19.2266453928,low, horse,Target Present,Normal
2008_000177.jpg, horse,,,,,16.3969555242,low, horse,Target Present,Normal
2008_000185.jpg, person, car,,,,17.0076378255,low, chair,Target Absent,Normal
2008_000189.jpg, person, car,,,,18.3908783393,low, aeroplane,Target Absent,Normal
2008_000192.jpg, bird,,,,,29.176311485,high, bird,Target Present,Normal
2008_000196.jpg, pottedplant, bicycle, bottle, cat,,35.3537844299,high, cat,Target Present,Critical
2008_000202.jpg, person, chair, bottle, tvmonitor,,34.6330560906,high, cat,Target Absent,Normal
2008_000226.jpg, person, car,,,,38.3289361592,high, boat,Target Absent,Normal
2008_000251.jpg, car, aeroplane,,,,35.8721794079,high, car,Target Present,Normal
2008_000270.jpg, person, dog, sofa,,,29.9356183869,high, sofa,Target Present,Normal
2008_000274.jpg, pottedplant, chair,,,,32.0542696763,high, chair,Target Present,Normal
2008_000287.jpg, pottedplant,,,,,19.5496564549,low, pottedplant,Target Present,Normal
2008_000359.jpg, person,,,,,29.5749543811,high, bird,Target Absent,Normal
2008_000398.jpg, person, bottle,,,,20.4237954738,low, bottle,Target Present,Normal
2008_000399.jpg, car,,,,,20.5159487636,low, cat,Target Absent,Normal
2008_000421.jpg, person, bottle, sofa,,,28.876320236,high, sofa,Target Present,Normal
2008_000501.jpg, car,,,,,18.2986780975,low, car,Target Present,Normal
2008_000533.jpg, bird,,,,,13.8094565734,low, person,Target Absent,Normal
2008_000536.jpg, cat,,,,,16.5304746381,low, cat,Target Present,Normal
2008_000564.jpg, pottedplant, person,,,,31.1907128736,high, person,Target Present,Normal
2008_000619.jpg, car, cat,,,,33.4621847905,high, cat,Target Present,Normal
